label,best_threshold,best_f1
toxic,0.8200000000000001,0.8051247471341875
severe_toxic,0.9,0.5155555555555555
obscene,0.78,0.81537565521258
threat,0.99,0.5436893203883495
insult,0.93,0.7577319587628866
identity_hate,0.8300000000000001,0.5029585798816568
