label,precision,recall,f1,accuracy,roc_auc,pr_auc
toxic,0.6703351675837919,0.8763897972531066,0.7596371882086168,0.9468605088356937,0.9790725802412399,0.8912650983908834
severe_toxic,0.30131004366812225,0.8625,0.44660194174757284,0.9785687429502444,0.9857948790986201,0.452570313735037
obscene,0.7105751391465677,0.906508875739645,0.796671866874675,0.9754981827296654,0.9901477116961492,0.8960800531822875
threat,0.19895287958115182,0.7916666666666666,0.3179916317991632,0.9897856874295025,0.989646186884559,0.5031759290929
insult,0.5557287607170693,0.9048223350253807,0.6885562530178657,0.9595814011780925,0.9841358428504027,0.8053590072160469
identity_hate,0.2872628726287263,0.75177304964539,0.41568627450980394,0.9813259806993357,0.9835140124392598,0.4455106043579245
